Name,City/Zip,State,Frequency
Pierre,Earlville,Illinois,29
Marquerite,64622,Missouri,37
Maryland,Belle Fourche,South Dakota,98
Belia,86514,Arizona,27
Janiece,Grafton,Illinois,67
Billy,Winters,California,83
Shanti,13092,New York,5
Sheri,Montclair,Virginia,52
Wonda,Wanchese,North Carolina,93
Hubert,53146,Wisconsin,20
Freeman,76508,Texas,5
Wendi,15715,Pennsylvania,94
Roy,06278,Connecticut,51
Eura,43777,Ohio,8
Marylouise,Pilesgrove,New Jersey,90
Latosha,Pembina County,North Dakota,59
Cameron,41528,Kentucky,2
Kelley,37171,Tennessee,37
Marhta,68058,Nebraska,34
Harold,40348,Kentucky,56
Marylee,Sussex,New Jersey,42
Sage,Weymouth,Massachusetts,49
Merle,Winn Parish,Louisiana,96
Rick,New Albany,Ohio,46
Carl,34994,Florida,18
Staci,61810,Illinois,86
Cherry,Petersham,Massachusetts,95
Mirna,46226,Indiana,94
Bobette,14612,New York,44
Aaron,Solvang,California,73